Frequency (Hz)	Level (dB)
86.132812	-48.606426
172.265625	-14.602957
258.398438	-8.203586
344.531250	-13.793385
430.664062	-20.397137
516.796875	-13.460508
602.929688	-18.537411
689.062500	-35.179310
775.195312	-27.864363
861.328125	-32.431080
947.460938	-32.106953
1033.593750	-24.199062
1119.726562	-28.355433
1205.859375	-36.882820
1291.992188	-28.523355
1378.125000	-32.218208
1464.257812	-44.310394
1550.390625	-36.112881
1636.523438	-39.493713
1722.656250	-42.755424
1808.789062	-33.480965
1894.921875	-36.281654
1981.054688	-50.681870
2067.187500	-44.409756
2153.320312	-46.755188
2239.453125	-55.151863
2325.585938	-48.904461
2411.718750	-50.716274
2497.851562	-54.200939
2583.984375	-45.444920
2670.117188	-46.642384
2756.250000	-55.160076
2842.382812	-52.751236
2928.515625	-53.319202
3014.648438	-56.893845
3100.781250	-53.085518
3186.914062	-54.082912
3273.046875	-61.595215
3359.179688	-55.889534
3445.312500	-55.952885
3531.445312	-61.999798
3617.578125	-61.036160
3703.710938	-61.693272
3789.843750	-64.595383
3875.976562	-64.601830
3962.109375	-65.468552
4048.242188	-66.530014
4134.375000	-65.060860
4220.507812	-63.799965
4306.640625	-64.780525
4392.773438	-63.837605
4478.906250	-62.980282
4565.039062	-63.527214
4651.171875	-64.168671
4737.304688	-63.959610
4823.437500	-64.516891
4909.570312	-65.277351
4995.703125	-64.635902
5081.835938	-67.681221
5167.968750	-67.262436
5254.101562	-67.239273
5340.234375	-69.123764
5426.367188	-67.823784
5512.500000	-66.153778
5598.632812	-67.363388
5684.765625	-67.935165
5770.898438	-67.672707
5857.031250	-67.633438
5943.164062	-66.069435
6029.296875	-66.899925
6115.429688	-69.668282
6201.562500	-69.750786
6287.695312	-69.472466
6373.828125	-70.676613
6459.960938	-69.759605
6546.093750	-71.268127
6632.226562	-73.114494
6718.359375	-72.507675
6804.492188	-73.097710
6890.625000	-74.567383
6976.757812	-74.647095
7062.890625	-75.862885
7149.023438	-73.698303
7235.156250	-72.708405
7321.289062	-74.956551
7407.421875	-76.677795
7493.554688	-76.420464
7579.687500	-75.769661
7665.820312	-75.251938
7751.953125	-76.237030
7838.085938	-76.626801
7924.218750	-72.620247
8010.351562	-72.214432
8096.484375	-74.836510
8182.617188	-75.446045
8268.750000	-72.523926
8354.882812	-71.312927
8441.015625	-69.807884
8527.148438	-67.540596
8613.281250	-66.202866
8699.414062	-66.823204
8785.546875	-66.972565
8871.679688	-67.131142
8957.812500	-69.104759
9043.945312	-70.354141
9130.078125	-70.499626
9216.210938	-72.472198
9302.343750	-74.118256
9388.476562	-74.847527
9474.609375	-77.137520
9560.742188	-78.182091
9646.875000	-78.759712
9733.007812	-80.759048
9819.140625	-80.775162
9905.273438	-78.720329
9991.406250	-78.448814
10077.539062	-76.735123
10163.671875	-75.741653
10249.804688	-76.528404
10335.937500	-76.351585
10422.070312	-75.810036
10508.203125	-76.345909
10594.335938	-75.368912
10680.468750	-75.365067
10766.601562	-77.023560
10852.734375	-78.264847
10938.867188	-77.348160
11025.000000	-76.634605
11111.132812	-76.932678
11197.265625	-76.154678
11283.398438	-76.101776
11369.531250	-77.156181
11455.664062	-77.901627
11541.796875	-77.156044
11627.929688	-77.688202
11714.062500	-78.002357
11800.195312	-78.741592
11886.328125	-79.016495
11972.460938	-78.932640
12058.593750	-78.412079
12144.726562	-78.351662
12230.859375	-80.391190
12316.992188	-80.658546
12403.125000	-80.206184
12489.257812	-81.715332
12575.390625	-82.370689
12661.523438	-82.384468
12747.656250	-82.710159
12833.789062	-83.114639
12919.921875	-82.699730
13006.054688	-82.874115
13092.187500	-82.645500
13178.320312	-83.469475
13264.453125	-82.858765
13350.585938	-81.832558
13436.718750	-82.077232
13522.851562	-81.697021
13608.984375	-81.192635
13695.117188	-81.624802
13781.250000	-81.868423
13867.382812	-81.927246
13953.515625	-81.843544
14039.648438	-82.167633
14125.781250	-82.412804
14211.914062	-82.358612
14298.046875	-83.713821
14384.179688	-84.191345
14470.312500	-84.445129
14556.445312	-84.796623
14642.578125	-85.238213
14728.710938	-85.596268
14814.843750	-85.526428
14900.976562	-85.651749
14987.109375	-85.340202
15073.242188	-86.166397
15159.375000	-86.846420
15245.507812	-86.188240
15331.640625	-85.740883
15417.773438	-86.277916
15503.906250	-85.619789
15590.039062	-85.609077
15676.171875	-86.335526
15762.304688	-87.429703
15848.437500	-87.205727
15934.570312	-85.823135
16020.703125	-86.777306
16106.835938	-87.020706
16192.968750	-84.891342
16279.101562	-84.778824
16365.234375	-85.889717
16451.367188	-85.966263
16537.500000	-86.826729
16623.632812	-87.939590
16709.765625	-88.336288
16795.898438	-88.353477
16882.031250	-89.254509
16968.164062	-87.993195
17054.296875	-87.834869
17140.429688	-89.771523
17226.562500	-88.683052
17312.695312	-88.876602
17398.828125	-89.323822
17484.960938	-88.754723
17571.093750	-87.842789
17657.226562	-87.041527
17743.359375	-87.552216
17829.492188	-87.392708
17915.625000	-86.638840
18001.757812	-87.043274
18087.890625	-86.343468
18174.023438	-84.726837
18260.156250	-85.382843
18346.289062	-85.383011
18432.421875	-86.153641
18518.554688	-86.837250
18604.687500	-86.949677
18690.820312	-85.526665
18776.953125	-85.093819
18863.085938	-85.232483
18949.218750	-85.858177
19035.351562	-87.118385
19121.484375	-87.775101
19207.617188	-86.877663
19293.750000	-88.008362
19379.882812	-89.330872
19466.015625	-89.485939
19552.148438	-89.678040
19638.281250	-89.687531
19724.414062	-89.956116
19810.546875	-90.410889
19896.679688	-89.539604
19982.812500	-90.841263
20068.945312	-90.868576
20155.078125	-90.360352
20241.210938	-91.049088
20327.343750	-91.646843
20413.476562	-89.207306
20499.609375	-87.423729
20585.742188	-88.343246
20671.875000	-88.665176
20758.007812	-89.274063
20844.140625	-90.229263
20930.273438	-89.245026
21016.406250	-90.898232
21102.539062	-93.851974
21188.671875	-93.399048
21274.804688	-92.155502
21360.937500	-91.170677
21447.070312	-93.223114
21533.203125	-93.576103
21619.335938	-91.608910
21705.468750	-92.814720
21791.601562	-94.839989
21877.734375	-95.409981
21963.867188	-95.760880
